request_id,date,sector,client_request,commercial_proposal,budget_est,status
R-1042,2023-09-21,Web Dev,I need a Landing page for my law firm.,"Professional Landing page delivery. High quality, quick turnaround.",$4054,Negotiating
R-1043,2023-11-11,Web Dev,I need a React dashboard for my tech startup.,"Professional React dashboard delivery. High quality, quick turnaround.",$3533,Rejected
R-1044,2023-10-25,Design,I need a Logo redesign for my bakery.,"Professional Logo redesign delivery. High quality, quick turnaround.",$4947,Negotiating
R-1045,2023-10-28,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$3022,Negotiating
R-1046,2023-09-17,Mobile App,I need a iOS MVP for my SaaS.,"Professional iOS MVP delivery. High quality, quick turnaround.",$3621,Negotiating
R-1047,2023-11-13,IT Security,Looking for a long-term partner for SSL configuration.,"Professional SSL configuration delivery. High quality, quick turnaround.",$2787,Negotiating
R-1048,2023-11-27,Web Dev,Need a quote for E-commerce store by tomorrow.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3124,Rejected
R-1049,2023-11-03,Mobile App,I need a Flutter cross-platform app for my SaaS.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$558,Accepted
R-1050,2023-09-07,Web Dev,Can you help with React dashboard? We are a startup.,"Professional React dashboard delivery. High quality, quick turnaround.",$4175,Rejected
R-1051,2023-11-25,IT Security,Looking for a long-term partner for Malware removal.,"Professional Malware removal delivery. High quality, quick turnaround.",$4114,Negotiating
R-1052,2023-10-08,Marketing,Need a quote for Influencer research by tomorrow.,"Professional Influencer research delivery. High quality, quick turnaround.",$1662,Pending
R-1053,2023-10-22,Marketing,Looking for a long-term partner for SMM strategy.,"Professional SMM strategy delivery. High quality, quick turnaround.",$4716,Rejected
R-1054,2023-09-21,SEO,Urgent: Technical audit project. Budget is flexible.,"Professional Technical audit delivery. High quality, quick turnaround.",$198,Accepted
R-1055,2023-10-31,Translation,Need a quote for Legal contract translation by tomorrow.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$1515,Accepted
R-1056,2023-10-31,Web Dev,I need a Landing page for my bakery.,"Professional Landing page delivery. High quality, quick turnaround.",$1522,Accepted
R-1057,2023-10-12,Data Science,I need a Predictive model for my retail store.,"Professional Predictive model delivery. High quality, quick turnaround.",$3495,Negotiating
R-1058,2023-11-04,Design,Urgent: Vector illustrations project. Budget is flexible.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$732,Accepted
R-1059,2023-09-14,Design,Need a quote for Logo redesign by tomorrow.,"Professional Logo redesign delivery. High quality, quick turnaround.",$3994,Accepted
R-1060,2023-11-07,Design,I need a Vector illustrations for my retail store.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$4474,Negotiating
R-1061,2023-10-11,Design,Looking for a long-term partner for Brand identity.,"Professional Brand identity delivery. High quality, quick turnaround.",$2221,Accepted
R-1062,2023-10-08,Mobile App,I need a Android bug fix for my tech startup.,"Professional Android bug fix delivery. High quality, quick turnaround.",$1906,Accepted
R-1063,2023-10-21,Mobile App,Urgent: Android bug fix project. Budget is flexible.,"Professional Android bug fix delivery. High quality, quick turnaround.",$915,Negotiating
R-1064,2023-11-11,Marketing,Looking for a long-term partner for SMM strategy.,"Professional SMM strategy delivery. High quality, quick turnaround.",$242,Accepted
R-1065,2023-10-23,Design,Urgent: Logo redesign project. Budget is flexible.,"Professional Logo redesign delivery. High quality, quick turnaround.",$2260,Negotiating
R-1066,2023-09-29,Design,Looking for a long-term partner for Vector illustrations.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$3806,Negotiating
R-1067,2023-09-07,Mobile App,Need a quote for Android bug fix by tomorrow.,"Professional Android bug fix delivery. High quality, quick turnaround.",$3508,Accepted
R-1068,2023-09-09,Marketing,I need a Google Ads setup for my bakery.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$256,Accepted
R-1069,2023-10-14,Design,Need a quote for UI/UX for mobile app by tomorrow.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$1398,Rejected
R-1070,2023-11-30,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$942,Accepted
R-1071,2023-11-17,IT Security,Need a quote for SSL configuration by tomorrow.,"Professional SSL configuration delivery. High quality, quick turnaround.",$3903,Negotiating
R-1072,2023-11-01,Web Dev,Looking for a long-term partner for E-commerce store.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3457,Accepted
R-1073,2023-11-06,Translation,I need a Legal contract translation for my law firm.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$300,Accepted
R-1074,2023-09-25,Marketing,Can you help with Email funnel? We are a startup.,"Professional Email funnel delivery. High quality, quick turnaround.",$3359,Negotiating
R-1075,2023-11-29,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$4714,Negotiating
R-1076,2023-09-07,Design,I need a UI/UX for mobile app for my law firm.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$309,Accepted
R-1077,2023-09-23,SEO,Urgent: Keyword research project. Budget is flexible.,"Professional Keyword research delivery. High quality, quick turnaround.",$823,Accepted
R-1078,2023-11-10,Design,I need a Brand identity for my retail store.,"Professional Brand identity delivery. High quality, quick turnaround.",$3995,Rejected
R-1079,2023-09-11,Design,Can you help with Brand identity? We are a startup.,"Professional Brand identity delivery. High quality, quick turnaround.",$1629,Accepted
R-1080,2023-09-29,Marketing,I need a Google Ads setup for my SaaS.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$102,Accepted
R-1081,2023-10-08,Web Dev,I need a E-commerce store for my tech startup.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3069,Rejected
R-1082,2023-09-28,Mobile App,I need a Flutter cross-platform app for my retail store.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$240,Accepted
R-1083,2023-10-23,Marketing,Urgent: Influencer research project. Budget is flexible.,"Professional Influencer research delivery. High quality, quick turnaround.",$595,Accepted
R-1084,2023-09-03,SEO,Looking for a long-term partner for Backlink strategy.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$836,Accepted
R-1085,2023-09-03,Design,I need a Logo redesign for my retail store.,"Professional Logo redesign delivery. High quality, quick turnaround.",$2904,Pending
R-1086,2023-10-31,Web Dev,Urgent: WordPress site project. Budget is flexible.,"Professional WordPress site delivery. High quality, quick turnaround.",$3949,Rejected
R-1087,2023-09-21,Mobile App,Urgent: iOS MVP project. Budget is flexible.,"Professional iOS MVP delivery. High quality, quick turnaround.",$4644,Rejected
R-1088,2023-10-14,SEO,Urgent: Technical audit project. Budget is flexible.,"Professional Technical audit delivery. High quality, quick turnaround.",$4437,Rejected
R-1089,2023-09-29,SEO,I need a Keyword research for my law firm.,"Professional Keyword research delivery. High quality, quick turnaround.",$833,Accepted
R-1090,2023-11-27,Data Science,Can you help with Predictive model? We are a startup.,"Professional Predictive model delivery. High quality, quick turnaround.",$75,Rejected
R-1091,2023-11-20,Web Dev,Need a quote for WordPress site by tomorrow.,"Professional WordPress site delivery. High quality, quick turnaround.",$2276,Accepted
R-1092,2023-11-11,Design,Looking for a long-term partner for Brand identity.,"Professional Brand identity delivery. High quality, quick turnaround.",$1549,Accepted
R-1093,2023-10-11,Translation,Urgent: Legal contract translation project. Budget is flexible.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$3128,Negotiating
R-1094,2023-10-23,Web Dev,Need a quote for Landing page by tomorrow.,"Professional Landing page delivery. High quality, quick turnaround.",$4416,Negotiating
R-1095,2023-11-16,IT Security,Can you help with SSL configuration? We are a startup.,"Professional SSL configuration delivery. High quality, quick turnaround.",$4788,Negotiating
R-1096,2023-09-28,Marketing,Need a quote for Influencer research by tomorrow.,"Professional Influencer research delivery. High quality, quick turnaround.",$4188,Negotiating
R-1097,2023-10-09,IT Security,Can you help with SSL configuration? We are a startup.,"Professional SSL configuration delivery. High quality, quick turnaround.",$4731,Negotiating
R-1098,2023-10-21,Marketing,Can you help with Google Ads setup? We are a startup.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$4577,Negotiating
R-1099,2023-11-04,Web Dev,Looking for a long-term partner for Landing page.,"Professional Landing page delivery. High quality, quick turnaround.",$453,Accepted
R-1100,2023-11-25,Web Dev,Can you help with Landing page? We are a startup.,"Professional Landing page delivery. High quality, quick turnaround.",$4140,Rejected
R-1101,2023-11-30,Design,Looking for a long-term partner for Logo redesign.,"Professional Logo redesign delivery. High quality, quick turnaround.",$222,Accepted
R-1102,2023-11-23,Mobile App,Looking for a long-term partner for Android bug fix.,"Professional Android bug fix delivery. High quality, quick turnaround.",$2815,Accepted
R-1103,2023-10-16,Web Dev,I need a E-commerce store for my retail store.,"Professional E-commerce store delivery. High quality, quick turnaround.",$958,Negotiating
R-1104,2023-11-21,Data Science,Can you help with Scraper bot? We are a startup.,"Professional Scraper bot delivery. High quality, quick turnaround.",$2882,Rejected
R-1105,2023-11-08,Mobile App,I need a Android bug fix for my bakery.,"Professional Android bug fix delivery. High quality, quick turnaround.",$2858,Accepted
R-1106,2023-10-15,IT Security,I need a SSL configuration for my tech startup.,"Professional SSL configuration delivery. High quality, quick turnaround.",$2583,Accepted
R-1107,2023-09-24,IT Security,Urgent: Malware removal project. Budget is flexible.,"Professional Malware removal delivery. High quality, quick turnaround.",$291,Accepted
R-1108,2023-10-26,Design,Need a quote for Vector illustrations by tomorrow.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$2836,Pending
R-1109,2023-09-20,Translation,Need a quote for App localization by tomorrow.,"Professional App localization delivery. High quality, quick turnaround.",$3557,Rejected
R-1110,2023-09-06,Translation,I need a App localization for my bakery.,"Professional App localization delivery. High quality, quick turnaround.",$846,Rejected
R-1111,2023-10-03,Translation,Can you help with Legal contract translation? We are a startup.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$3795,Negotiating
R-1112,2023-09-18,Marketing,Looking for a long-term partner for Google Ads setup.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$4464,Accepted
R-1113,2023-09-19,Data Science,Looking for a long-term partner for Scraper bot.,"Professional Scraper bot delivery. High quality, quick turnaround.",$367,Accepted
R-1114,2023-09-25,Data Science,Urgent: Data cleaning project. Budget is flexible.,"Professional Data cleaning delivery. High quality, quick turnaround.",$4515,Negotiating
R-1115,2023-09-22,Design,Looking for a long-term partner for UI/UX for mobile app.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$4911,Rejected
R-1116,2023-09-20,Mobile App,I need a Android bug fix for my SaaS.,"Professional Android bug fix delivery. High quality, quick turnaround.",$1009,Negotiating
R-1117,2023-10-19,Translation,Urgent: Website proofreading project. Budget is flexible.,"Professional Website proofreading delivery. High quality, quick turnaround.",$2641,Negotiating
R-1118,2023-10-24,Design,I need a Brand identity for my law firm.,"Professional Brand identity delivery. High quality, quick turnaround.",$863,Rejected
R-1119,2023-09-19,Design,Need a quote for Logo redesign by tomorrow.,"Professional Logo redesign delivery. High quality, quick turnaround.",$1461,Accepted
R-1120,2023-11-07,Design,Looking for a long-term partner for UI/UX for mobile app.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$4303,Accepted
R-1121,2023-10-10,Marketing,Need a quote for Email funnel by tomorrow.,"Professional Email funnel delivery. High quality, quick turnaround.",$3275,Rejected
R-1122,2023-11-04,Marketing,Urgent: SMM strategy project. Budget is flexible.,"Professional SMM strategy delivery. High quality, quick turnaround.",$2316,Accepted
R-1123,2023-09-08,Data Science,Can you help with Scraper bot? We are a startup.,"Professional Scraper bot delivery. High quality, quick turnaround.",$3869,Accepted
R-1124,2023-10-28,Mobile App,I need a Android bug fix for my SaaS.,"Professional Android bug fix delivery. High quality, quick turnaround.",$1870,Pending
R-1125,2023-10-18,Web Dev,I need a Landing page for my bakery.,"Professional Landing page delivery. High quality, quick turnaround.",$999,Pending
R-1126,2023-10-28,Web Dev,Can you help with React dashboard? We are a startup.,"Professional React dashboard delivery. High quality, quick turnaround.",$4468,Rejected
R-1127,2023-09-09,Data Science,Need a quote for Data cleaning by tomorrow.,"Professional Data cleaning delivery. High quality, quick turnaround.",$2385,Negotiating
R-1128,2023-09-15,Design,Urgent: Brand identity project. Budget is flexible.,"Professional Brand identity delivery. High quality, quick turnaround.",$493,Accepted
R-1129,2023-11-15,IT Security,Looking for a long-term partner for Malware removal.,"Professional Malware removal delivery. High quality, quick turnaround.",$1057,Pending
R-1130,2023-10-20,IT Security,Can you help with SSL configuration? We are a startup.,"Professional SSL configuration delivery. High quality, quick turnaround.",$2749,Pending
R-1131,2023-10-23,SEO,I need a Technical audit for my retail store.,"Professional Technical audit delivery. High quality, quick turnaround.",$3456,Rejected
R-1132,2023-11-12,Web Dev,Need a quote for E-commerce store by tomorrow.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3895,Negotiating
R-1133,2023-09-26,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$3213,Negotiating
R-1134,2023-09-30,Mobile App,Urgent: iOS MVP project. Budget is flexible.,"Professional iOS MVP delivery. High quality, quick turnaround.",$4869,Rejected
R-1135,2023-09-09,Translation,I need a App localization for my SaaS.,"Professional App localization delivery. High quality, quick turnaround.",$1758,Pending
R-1136,2023-10-27,Marketing,I need a SMM strategy for my law firm.,"Professional SMM strategy delivery. High quality, quick turnaround.",$1646,Rejected
R-1137,2023-09-25,Data Science,I need a Data cleaning for my tech startup.,"Professional Data cleaning delivery. High quality, quick turnaround.",$2470,Accepted
R-1138,2023-09-12,Data Science,Looking for a long-term partner for PowerBI dashboard.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$2990,Negotiating
R-1139,2023-09-04,Translation,I need a App localization for my retail store.,"Professional App localization delivery. High quality, quick turnaround.",$4608,Accepted
R-1140,2023-09-11,IT Security,Urgent: SSL configuration project. Budget is flexible.,"Professional SSL configuration delivery. High quality, quick turnaround.",$1843,Pending
R-1141,2023-11-30,Web Dev,Looking for a long-term partner for WordPress site.,"Professional WordPress site delivery. High quality, quick turnaround.",$1518,Negotiating
R-1142,2023-10-16,IT Security,Need a quote for Penetration test by tomorrow.,"Professional Penetration test delivery. High quality, quick turnaround.",$2740,Rejected
R-1143,2023-10-22,Marketing,I need a Google Ads setup for my tech startup.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$1629,Negotiating
R-1144,2023-10-07,Mobile App,I need a Flutter cross-platform app for my retail store.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$1250,Pending
R-1145,2023-10-24,SEO,Urgent: Keyword research project. Budget is flexible.,"Professional Keyword research delivery. High quality, quick turnaround.",$3329,Negotiating
R-1146,2023-09-10,Data Science,Looking for a long-term partner for Scraper bot.,"Professional Scraper bot delivery. High quality, quick turnaround.",$1416,Negotiating
R-1147,2023-11-22,Data Science,Looking for a long-term partner for Scraper bot.,"Professional Scraper bot delivery. High quality, quick turnaround.",$1566,Rejected
R-1148,2023-09-27,Design,Looking for a long-term partner for UI/UX for mobile app.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$3189,Accepted
R-1149,2023-11-17,SEO,I need a Keyword research for my retail store.,"Professional Keyword research delivery. High quality, quick turnaround.",$2783,Negotiating
R-1150,2023-10-08,IT Security,Urgent: Malware removal project. Budget is flexible.,"Professional Malware removal delivery. High quality, quick turnaround.",$3372,Accepted
R-1151,2023-09-26,Web Dev,Can you help with E-commerce store? We are a startup.,"Professional E-commerce store delivery. High quality, quick turnaround.",$2875,Accepted
R-1152,2023-10-23,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$3211,Negotiating
R-1153,2023-10-19,Marketing,Need a quote for Email funnel by tomorrow.,"Professional Email funnel delivery. High quality, quick turnaround.",$372,Accepted
R-1154,2023-11-01,IT Security,Urgent: SSL configuration project. Budget is flexible.,"Professional SSL configuration delivery. High quality, quick turnaround.",$1857,Negotiating
R-1155,2023-11-23,Mobile App,Need a quote for Android bug fix by tomorrow.,"Professional Android bug fix delivery. High quality, quick turnaround.",$4570,Rejected
R-1156,2023-11-22,Data Science,Looking for a long-term partner for Predictive model.,"Professional Predictive model delivery. High quality, quick turnaround.",$2016,Pending
R-1157,2023-10-30,Mobile App,Urgent: iOS MVP project. Budget is flexible.,"Professional iOS MVP delivery. High quality, quick turnaround.",$4382,Negotiating
R-1158,2023-11-10,Design,Need a quote for Brand identity by tomorrow.,"Professional Brand identity delivery. High quality, quick turnaround.",$2781,Rejected
R-1159,2023-09-19,Design,Can you help with UI/UX for mobile app? We are a startup.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$4849,Negotiating
R-1160,2023-09-27,Mobile App,Looking for a long-term partner for Android bug fix.,"Professional Android bug fix delivery. High quality, quick turnaround.",$857,Rejected
R-1161,2023-09-11,Marketing,Can you help with SMM strategy? We are a startup.,"Professional SMM strategy delivery. High quality, quick turnaround.",$3292,Accepted
R-1162,2023-10-13,Web Dev,I need a WordPress site for my law firm.,"Professional WordPress site delivery. High quality, quick turnaround.",$3272,Negotiating
R-1163,2023-09-25,Web Dev,Urgent: WordPress site project. Budget is flexible.,"Professional WordPress site delivery. High quality, quick turnaround.",$4293,Rejected
R-1164,2023-10-28,Web Dev,Urgent: React dashboard project. Budget is flexible.,"Professional React dashboard delivery. High quality, quick turnaround.",$3059,Accepted
R-1165,2023-10-02,SEO,Urgent: Backlink strategy project. Budget is flexible.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$588,Accepted
R-1166,2023-09-03,Marketing,Looking for a long-term partner for Influencer research.,"Professional Influencer research delivery. High quality, quick turnaround.",$4485,Accepted
R-1167,2023-10-01,Marketing,Looking for a long-term partner for Email funnel.,"Professional Email funnel delivery. High quality, quick turnaround.",$1628,Negotiating
R-1168,2023-10-28,Design,Can you help with Brand identity? We are a startup.,"Professional Brand identity delivery. High quality, quick turnaround.",$1254,Pending
R-1169,2023-11-29,Translation,I need a Legal contract translation for my bakery.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$4052,Rejected
R-1170,2023-10-22,Marketing,I need a Influencer research for my SaaS.,"Professional Influencer research delivery. High quality, quick turnaround.",$2189,Negotiating
R-1171,2023-10-06,SEO,Looking for a long-term partner for Keyword research.,"Professional Keyword research delivery. High quality, quick turnaround.",$118,Accepted
R-1172,2023-11-05,Web Dev,I need a WordPress site for my law firm.,"Professional WordPress site delivery. High quality, quick turnaround.",$395,Accepted
R-1173,2023-10-06,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$2161,Rejected
R-1174,2023-11-28,SEO,Can you help with Keyword research? We are a startup.,"Professional Keyword research delivery. High quality, quick turnaround.",$1219,Rejected
R-1175,2023-10-28,IT Security,Urgent: Penetration test project. Budget is flexible.,"Professional Penetration test delivery. High quality, quick turnaround.",$3655,Negotiating
R-1176,2023-09-27,SEO,Looking for a long-term partner for Keyword research.,"Professional Keyword research delivery. High quality, quick turnaround.",$946,Negotiating
R-1177,2023-10-26,Web Dev,Need a quote for E-commerce store by tomorrow.,"Professional E-commerce store delivery. High quality, quick turnaround.",$4045,Negotiating
R-1178,2023-11-18,Design,Can you help with Vector illustrations? We are a startup.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$4072,Rejected
R-1179,2023-09-05,Design,Can you help with Logo redesign? We are a startup.,"Professional Logo redesign delivery. High quality, quick turnaround.",$1037,Negotiating
R-1180,2023-09-10,SEO,Need a quote for Keyword research by tomorrow.,"Professional Keyword research delivery. High quality, quick turnaround.",$1456,Negotiating
R-1181,2023-09-28,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$267,Accepted
R-1182,2023-10-16,Mobile App,Urgent: Flutter cross-platform app project. Budget is flexible.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$3257,Negotiating
R-1183,2023-11-22,Data Science,Looking for a long-term partner for Scraper bot.,"Professional Scraper bot delivery. High quality, quick turnaround.",$376,Accepted
R-1184,2023-10-30,Translation,Urgent: Website proofreading project. Budget is flexible.,"Professional Website proofreading delivery. High quality, quick turnaround.",$2416,Accepted
R-1185,2023-09-29,Web Dev,Need a quote for React dashboard by tomorrow.,"Professional React dashboard delivery. High quality, quick turnaround.",$4743,Rejected
R-1186,2023-09-15,Web Dev,Can you help with E-commerce store? We are a startup.,"Professional E-commerce store delivery. High quality, quick turnaround.",$2487,Rejected
R-1187,2023-10-02,Design,Looking for a long-term partner for Logo redesign.,"Professional Logo redesign delivery. High quality, quick turnaround.",$969,Rejected
R-1188,2023-09-10,Marketing,Urgent: Influencer research project. Budget is flexible.,"Professional Influencer research delivery. High quality, quick turnaround.",$3576,Negotiating
R-1189,2023-10-13,IT Security,Urgent: Malware removal project. Budget is flexible.,"Professional Malware removal delivery. High quality, quick turnaround.",$1909,Pending
R-1190,2023-09-23,Data Science,Need a quote for PowerBI dashboard by tomorrow.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$4734,Negotiating
R-1191,2023-11-22,Data Science,Looking for a long-term partner for Scraper bot.,"Professional Scraper bot delivery. High quality, quick turnaround.",$1283,Accepted
R-1192,2023-11-10,Web Dev,Urgent: E-commerce store project. Budget is flexible.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3526,Negotiating
R-1193,2023-10-20,IT Security,Can you help with SSL configuration? We are a startup.,"Professional SSL configuration delivery. High quality, quick turnaround.",$1631,Negotiating
R-1194,2023-09-14,Data Science,Urgent: Scraper bot project. Budget is flexible.,"Professional Scraper bot delivery. High quality, quick turnaround.",$2497,Accepted
R-1195,2023-09-14,Marketing,Need a quote for Google Ads setup by tomorrow.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$64,Pending
